Name,Age,Education,Employment,Income,Poverty Level
Glenn Gray,21,Primary,Unemployed,4429,Below Poverty Line
Linda Singleton,60,Primary,Self-employed,744095,Above Poverty Line
Jennifer Fisher,24,Primary,Unemployed,11216,Middle Class
Robert Cruz,29,Primary,Unemployed,7528,Below Poverty Line
Jessica Curry,79,Tertiary,Employed,357504,Above Poverty Line
Mark Mitchell,58,Secondary,Self-employed,450042,Above Poverty Line
Jeffrey Simon,75,Secondary,Self-employed,952947,Above Poverty Line
Andrew Bradford,72,Tertiary,Unemployed,8484,Below Poverty Line
Christina Garcia,34,Secondary,Unemployed,10965,Middle Class
Patrick Johnson,28,Primary,Employed,742016,Above Poverty Line
Karen Mitchell,38,Primary,Self-employed,976471,Above Poverty Line
Shirley Richardson,51,No Education,Unemployed,9805,Below Poverty Line
Alexa Hart,37,No Education,Self-employed,214775,Above Poverty Line
Christopher Gordon,60,Primary,Unemployed,4469,Below Poverty Line
Joshua Mckinney,67,Secondary,Employed,481351,Above Poverty Line
John Morrow,62,Secondary,Self-employed,408768,Above Poverty Line
Amanda Peters,27,No Education,Employed,607914,Above Poverty Line
Jeffrey Olson,43,No Education,Employed,585151,Above Poverty Line
Teresa Wilson,32,Primary,Self-employed,483143,Above Poverty Line
Kara Dunn,52,No Education,Employed,756878,Above Poverty Line
Michael Hines,23,Primary,Employed,998745,Above Poverty Line
Michael Cox,31,Primary,Unemployed,5194,Below Poverty Line
Kelsey Ball,20,No Education,Unemployed,3787,Below Poverty Line
Tanner Rose,63,Tertiary,Employed,429067,Above Poverty Line
Charlotte Howard,77,No Education,Employed,372715,Above Poverty Line
George Davis,66,Secondary,Employed,869851,Above Poverty Line
Thomas Roberts,76,Tertiary,Employed,521854,Above Poverty Line
Charles Glover,66,No Education,Employed,665669,Above Poverty Line
Carla Montgomery,77,Tertiary,Unemployed,15937,Middle Class
Jacob Clark,28,Secondary,Employed,444444,Above Poverty Line
Hannah Allen,42,No Education,Unemployed,8388,Below Poverty Line
Nathaniel Martinez,67,Primary,Self-employed,524600,Above Poverty Line
Karen Diaz,43,Primary,Employed,627967,Above Poverty Line
Karen Dickson,46,Secondary,Unemployed,8599,Below Poverty Line
Corey Pugh,44,Primary,Employed,994148,Above Poverty Line
Christopher Smith,48,Tertiary,Employed,598809,Above Poverty Line
Kathleen Ross,59,Secondary,Unemployed,1340,Below Poverty Line
Cory Gonzales,29,Primary,Unemployed,6513,Below Poverty Line
Michael Rivera,30,Secondary,Unemployed,8012,Below Poverty Line
David Brown,86,Primary,Unemployed,3666,Below Poverty Line
Amanda Miller,50,Primary,Unemployed,13822,Middle Class
Carrie Thompson,66,No Education,Unemployed,8760,Below Poverty Line
Rebecca Campbell,61,No Education,Employed,570710,Above Poverty Line
Michael Moreno,68,Primary,Self-employed,958076,Above Poverty Line
Nicholas Larson,58,Secondary,Employed,554344,Above Poverty Line
Charles Johnson,26,No Education,Employed,599120,Above Poverty Line
Jeanette Key,74,Secondary,Unemployed,2929,Below Poverty Line
Ms. Stephanie Smith,62,Secondary,Self-employed,307857,Above Poverty Line
Ariel Kane,79,Secondary,Unemployed,12639,Middle Class
Benjamin Tucker,53,Primary,Unemployed,10996,Middle Class
Brad Howard,26,Tertiary,Self-employed,673051,Above Poverty Line
Charles George,33,Primary,Unemployed,7171,Below Poverty Line
Anthony Kennedy,84,Secondary,Employed,739346,Above Poverty Line
Kristen Spears,63,Primary,Self-employed,77442,Middle Class
Matthew Miller,35,Primary,Unemployed,8035,Below Poverty Line
Andrea Willis,42,No Education,Unemployed,8165,Below Poverty Line
Casey Moore,41,Secondary,Employed,465100,Above Poverty Line
Theresa Middleton,53,Primary,Self-employed,458086,Above Poverty Line
Julian Sanders,79,Primary,Unemployed,3400,Below Poverty Line
William Morales,60,Tertiary,Unemployed,7084,Below Poverty Line
Zachary Booth,65,Tertiary,Unemployed,10575,Middle Class
April Kelly,50,No Education,Unemployed,8951,Below Poverty Line
Adam Roberts,62,Primary,Unemployed,12577,Middle Class
Jose Olsen,49,Tertiary,Unemployed,17596,Middle Class
Steven Sharp,40,No Education,Unemployed,8303,Below Poverty Line
Kim Ho,75,No Education,Employed,569075,Above Poverty Line
Benjamin Day,42,Secondary,Unemployed,12812,Middle Class
Kathy Woods,36,No Education,Self-employed,975952,Above Poverty Line
Joe Rios,52,Primary,Unemployed,7924,Below Poverty Line
Rebecca House,26,Tertiary,Self-employed,930058,Above Poverty Line
Amanda Ortiz,29,Primary,Employed,338239,Above Poverty Line
Michael Morse,18,Primary,Self-employed,745530,Above Poverty Line
Andrew Ray,18,Tertiary,Self-employed,186315,Above Poverty Line
Bailey Monroe,83,Primary,Employed,677699,Above Poverty Line
Janice Bentley,62,Tertiary,Self-employed,946938,Above Poverty Line
Chelsea Valdez,79,Primary,Self-employed,413597,Above Poverty Line
James Jenkins,76,No Education,Self-employed,681141,Above Poverty Line
Rhonda Johnson,78,Tertiary,Employed,676867,Above Poverty Line
Yolanda Nelson,42,Secondary,Self-employed,765596,Above Poverty Line
Corey Smith,59,No Education,Self-employed,913654,Above Poverty Line
Angel Jones,31,Primary,Employed,922524,Above Poverty Line
Linda Smith,39,Primary,Self-employed,330403,Above Poverty Line
Amy Shaw,42,No Education,Employed,477893,Above Poverty Line
Joseph Williams,68,Tertiary,Self-employed,303970,Above Poverty Line
Victoria Hood,29,Tertiary,Unemployed,12610,Middle Class
Allison Miller,38,No Education,Employed,964481,Above Poverty Line
Douglas Nelson,28,No Education,Employed,855270,Above Poverty Line
Suzanne Obrien,29,No Education,Self-employed,518743,Above Poverty Line
James Mccann,66,Tertiary,Unemployed,9631,Below Poverty Line
Dawn Weaver,58,Primary,Unemployed,11253,Middle Class
Brenda Peters,46,Tertiary,Unemployed,8286,Below Poverty Line
Karen Peters,54,Secondary,Self-employed,285857,Above Poverty Line
Henry Miller,69,No Education,Unemployed,7402,Below Poverty Line
Kathy Shepherd,22,Primary,Employed,205553,Above Poverty Line
Jennifer Mahoney,30,Tertiary,Unemployed,9020,Below Poverty Line
Abigail Villarreal,60,Primary,Self-employed,103313,Above Poverty Line
Alexis Edwards,71,Primary,Unemployed,10533,Middle Class
Crystal Castillo,37,Secondary,Employed,375935,Above Poverty Line
Ernest Simmons,63,No Education,Unemployed,17151,Middle Class
David Smith,35,No Education,Employed,269155,Above Poverty Line
Ashley Black,76,Tertiary,Unemployed,11321,Middle Class
Rebecca Crawford,41,Secondary,Employed,380290,Above Poverty Line
Kelly Murphy,41,Tertiary,Employed,953410,Above Poverty Line
William White,69,Tertiary,Unemployed,6674,Below Poverty Line
Donald Figueroa,82,Secondary,Employed,935049,Above Poverty Line
Jason Weber,43,Secondary,Employed,296137,Above Poverty Line
Andrea Davis,40,Primary,Employed,175104,Above Poverty Line
Thomas Parker,26,No Education,Self-employed,192403,Above Poverty Line
Matthew Guzman,31,Tertiary,Self-employed,505276,Above Poverty Line
Timothy Graham,58,Secondary,Self-employed,161715,Above Poverty Line
Gabrielle Richardson,29,Primary,Self-employed,112284,Above Poverty Line
Cheryl Lane,65,Secondary,Employed,204932,Above Poverty Line
Elizabeth Myers,74,Secondary,Employed,377536,Above Poverty Line
Morgan Ball,37,Primary,Self-employed,961304,Above Poverty Line
Kelsey Rivas,35,Tertiary,Self-employed,338117,Above Poverty Line
Kelly Wilson,60,Primary,Employed,264294,Above Poverty Line
Heidi Salazar,20,No Education,Employed,489302,Above Poverty Line
Steven Pena,45,Secondary,Employed,331548,Above Poverty Line
Michael Rush,81,Primary,Self-employed,877061,Above Poverty Line
Terry Price,65,No Education,Employed,112810,Above Poverty Line
Kevin Benson,19,Primary,Self-employed,590340,Above Poverty Line
Michael Guerrero,85,Tertiary,Unemployed,11521,Middle Class
Melinda Martinez,63,Primary,Self-employed,406974,Above Poverty Line
Grant Armstrong,75,No Education,Employed,774759,Above Poverty Line
Joseph Reese,37,Tertiary,Self-employed,219027,Above Poverty Line
Stephen Hernandez,31,Primary,Employed,621221,Above Poverty Line
Jeffrey Hamilton,57,Secondary,Unemployed,6589,Below Poverty Line
Maria Williamson,85,Secondary,Unemployed,4626,Below Poverty Line
Daniel Rios,21,Primary,Unemployed,5921,Below Poverty Line
Derrick Dixon,68,No Education,Self-employed,62836,Middle Class
Joshua Haney,77,Primary,Employed,870425,Above Poverty Line
Sierra Green,33,Primary,Self-employed,229337,Above Poverty Line
Mark Wise,60,Tertiary,Self-employed,671562,Above Poverty Line
Keith Haynes,86,Secondary,Unemployed,9535,Below Poverty Line
Robert Ramirez,76,Tertiary,Unemployed,5847,Below Poverty Line
Jeffrey Baxter,63,Secondary,Employed,461701,Above Poverty Line
James Murray,80,Tertiary,Self-employed,262632,Above Poverty Line
Alyssa Payne,48,Tertiary,Employed,652190,Above Poverty Line
Robert Stevens,43,Primary,Employed,907047,Above Poverty Line
Kevin Thomas,86,Secondary,Unemployed,12172,Middle Class
Ashley Nielsen,36,Secondary,Unemployed,9689,Below Poverty Line
Tracy Yoder,79,Tertiary,Employed,697898,Above Poverty Line
Alex Curtis,30,No Education,Self-employed,578149,Above Poverty Line
Ashley West,61,No Education,Self-employed,844131,Above Poverty Line
Kayla Rogers,87,Tertiary,Unemployed,8907,Below Poverty Line
Cristina Fields,57,Tertiary,Self-employed,302709,Above Poverty Line
Jeremiah Wilkins,52,Secondary,Employed,223942,Above Poverty Line
Jonathan Garcia,21,Tertiary,Self-employed,861782,Above Poverty Line
Julian Barnes,61,Tertiary,Unemployed,11421,Middle Class
Jennifer Douglas,44,No Education,Employed,774460,Above Poverty Line
Rhonda Bailey,51,No Education,Unemployed,17647,Middle Class
Linda Wright,44,Primary,Employed,413034,Above Poverty Line
Angela Scott,19,Primary,Unemployed,12510,Middle Class
Lisa Martinez,72,Secondary,Self-employed,764874,Above Poverty Line
Anthony Lopez,18,Secondary,Employed,445781,Above Poverty Line
Lawrence Reyes,65,No Education,Self-employed,546831,Above Poverty Line
Thomas Mann,37,Secondary,Self-employed,504029,Above Poverty Line
Chase Franklin,55,Primary,Unemployed,8215,Below Poverty Line
Sharon Brown,35,Secondary,Self-employed,952214,Above Poverty Line
Morgan Mclaughlin,26,No Education,Self-employed,558472,Above Poverty Line
Megan Frost,46,Tertiary,Self-employed,151971,Above Poverty Line
Danielle Ward,77,No Education,Employed,30770,Middle Class
Sharon Thompson,74,Primary,Unemployed,3412,Below Poverty Line
Marcus Larsen,81,Primary,Employed,338242,Above Poverty Line
Michael Faulkner,79,Secondary,Self-employed,129428,Above Poverty Line
Robert Armstrong,64,Primary,Self-employed,69877,Middle Class
James Ramirez,37,Secondary,Self-employed,751696,Above Poverty Line
Jennifer Lee,70,Secondary,Unemployed,18290,Middle Class
Margaret Williams,31,Secondary,Employed,588318,Above Poverty Line
John Lowery,45,No Education,Employed,144219,Above Poverty Line
James Thompson,85,Tertiary,Unemployed,12486,Middle Class
Miranda Wilson,22,Secondary,Unemployed,12633,Middle Class
Isaiah Davis,37,No Education,Unemployed,10294,Middle Class
Lori Brown,19,Secondary,Unemployed,10451,Middle Class
Alexander Hughes,24,Tertiary,Unemployed,10405,Middle Class
Paula Byrd,25,Secondary,Self-employed,405540,Above Poverty Line
Tamara Hawkins,39,Secondary,Unemployed,13157,Middle Class
Juan Wong,49,No Education,Unemployed,10707,Middle Class
Paul Lewis,18,Primary,Unemployed,10797,Middle Class
Victoria Phillips,43,Tertiary,Employed,759119,Above Poverty Line
Jonathan Rice,43,Tertiary,Unemployed,8463,Below Poverty Line
Benjamin Carrillo,69,Secondary,Employed,408787,Above Poverty Line
Michael Adkins,73,Primary,Unemployed,8612,Below Poverty Line
Wendy Bailey,59,Tertiary,Self-employed,322713,Above Poverty Line
Steven Reed,49,Primary,Unemployed,14000,Middle Class
Ronald Carlson,27,Primary,Self-employed,787033,Above Poverty Line
Brenda Allison,40,Primary,Employed,407077,Above Poverty Line
Alexis Griffith,61,Secondary,Unemployed,5923,Below Poverty Line
Scott Dominguez,46,No Education,Self-employed,163846,Above Poverty Line
Mr. Antonio Melton,55,Primary,Employed,268853,Above Poverty Line
Laura West DDS,35,Secondary,Self-employed,507421,Above Poverty Line
Jennifer Sullivan,40,Tertiary,Employed,822898,Above Poverty Line
Amy Sanford,50,Primary,Employed,381697,Above Poverty Line
Sandra Ramsey,77,Tertiary,Employed,348098,Above Poverty Line
Justin Hart,23,Primary,Employed,341962,Above Poverty Line
Elizabeth Berry,62,No Education,Employed,459967,Above Poverty Line
James Bond,68,Secondary,Self-employed,322820,Above Poverty Line
Mrs. Danielle Dorsey DDS,37,Tertiary,Self-employed,57110,Middle Class
Leslie Cortez,51,No Education,Unemployed,9870,Below Poverty Line
Jeremy Marshall,67,No Education,Self-employed,186425,Above Poverty Line
Richard Cobb,71,No Education,Self-employed,1002605,Above Poverty Line
Carla Schmidt,78,No Education,Unemployed,4249,Below Poverty Line
Johnathan Mueller,64,No Education,Unemployed,6246,Below Poverty Line
Aaron Hernandez,30,Secondary,Employed,155494,Above Poverty Line
David Turner,37,Secondary,Employed,262661,Above Poverty Line
Melissa Reyes,51,Primary,Employed,793182,Above Poverty Line
Kenneth Murphy,20,Secondary,Unemployed,14538,Middle Class
Peter Rodriguez,22,Tertiary,Employed,390775,Above Poverty Line
Sara Gonzalez,33,Tertiary,Employed,851494,Above Poverty Line
Matthew Harris,63,Primary,Unemployed,8989,Below Poverty Line
Donald Smith,30,Primary,Employed,200823,Above Poverty Line
Kevin Young,61,Secondary,Employed,199491,Above Poverty Line
Mrs. Stephanie Sullivan DDS,54,Primary,Employed,320773,Above Poverty Line
Tyler Lopez,59,No Education,Employed,438686,Above Poverty Line
Danny Montes,80,Tertiary,Unemployed,10899,Middle Class
Timothy Hall,34,Tertiary,Employed,437058,Above Poverty Line
Christopher Kelley,23,Secondary,Employed,942551,Above Poverty Line
Kelly Olson,75,No Education,Self-employed,847210,Above Poverty Line
Meghan Parker,30,No Education,Self-employed,976014,Above Poverty Line
Dennis Garcia,30,No Education,Self-employed,291794,Above Poverty Line
Reginald Meyer,20,Primary,Unemployed,7733,Below Poverty Line
Elizabeth Yates,25,Secondary,Self-employed,583666,Above Poverty Line
John Erickson,30,Tertiary,Employed,724597,Above Poverty Line
Madeline Martin,62,Secondary,Self-employed,206595,Above Poverty Line
Gabrielle Miller,33,No Education,Employed,382503,Above Poverty Line
Jesse Hoffman,42,No Education,Employed,572316,Above Poverty Line
Scott Galvan,69,Tertiary,Employed,150157,Above Poverty Line
Mr. Dalton Lee DDS,83,No Education,Unemployed,6475,Below Poverty Line
Miss Regina House,34,Tertiary,Self-employed,218793,Above Poverty Line
Michael Anderson,19,Primary,Self-employed,753390,Above Poverty Line
Brian Griffin,61,Tertiary,Employed,162560,Above Poverty Line
Richard Reed,62,Tertiary,Self-employed,971866,Above Poverty Line
Hannah Travis,77,Tertiary,Unemployed,16402,Middle Class
Ronald Hull,75,Tertiary,Self-employed,422666,Above Poverty Line
Christopher Byrd,79,Primary,Employed,723384,Above Poverty Line
Jessica Baker,40,Primary,Self-employed,614376,Above Poverty Line
Paul Sanchez,28,Primary,Unemployed,4061,Below Poverty Line
Michael Boyd,48,Secondary,Self-employed,186919,Above Poverty Line
Lisa Spencer,85,Primary,Employed,716704,Above Poverty Line
Anne Baldwin,73,Primary,Unemployed,897,Below Poverty Line
Kayla Stevenson,74,No Education,Self-employed,262481,Above Poverty Line
Sandra Cooper,60,Tertiary,Self-employed,509450,Above Poverty Line
Ashley Walsh MD,67,Secondary,Self-employed,816382,Above Poverty Line
Angela Sloan,39,Secondary,Employed,994653,Above Poverty Line
Brent Wilson,47,Primary,Self-employed,418520,Above Poverty Line
Michael Williams,58,Primary,Self-employed,361620,Above Poverty Line
Blake Ferguson,87,Secondary,Unemployed,11624,Middle Class
Kristina Owens,43,Tertiary,Unemployed,6396,Below Poverty Line
Cheryl Schaefer,25,Tertiary,Self-employed,953453,Above Poverty Line
Kelly Hughes,23,Secondary,Unemployed,12987,Middle Class
Cindy Price,46,Primary,Unemployed,10677,Middle Class
Anthony Hill,51,No Education,Employed,679369,Above Poverty Line
Melissa Rich,41,No Education,Unemployed,17511,Middle Class
Anthony Carey,42,Secondary,Self-employed,949477,Above Poverty Line
Sheena Jenkins,65,Tertiary,Self-employed,46703,Middle Class
Sara Robinson,60,Secondary,Self-employed,194331,Above Poverty Line
Bryan Taylor,45,Tertiary,Self-employed,905470,Above Poverty Line
Ryan Knight,46,Primary,Self-employed,557992,Above Poverty Line
Lori Ferguson,68,Primary,Self-employed,365043,Above Poverty Line
Daniel Lewis,62,Tertiary,Unemployed,15296,Middle Class
Scott Mills,71,Secondary,Employed,821197,Above Poverty Line
Michelle Williams,29,Tertiary,Self-employed,336771,Above Poverty Line
Tyler Molina,56,Tertiary,Self-employed,85424,Middle Class
Ashley White,78,Tertiary,Employed,558454,Above Poverty Line
Wendy Figueroa,64,Tertiary,Employed,544937,Above Poverty Line
Jamie Thomas,64,Secondary,Unemployed,14307,Middle Class
Theresa Lozano,56,Tertiary,Unemployed,6870,Below Poverty Line
Kenneth Schneider,58,Secondary,Self-employed,985520,Above Poverty Line
Rachael Mayer,42,Tertiary,Employed,592044,Above Poverty Line
Jennifer Herrera,40,Tertiary,Unemployed,6126,Below Poverty Line
Jerry Castaneda,64,Primary,Self-employed,300337,Above Poverty Line
Samantha Williams,62,No Education,Unemployed,15298,Middle Class
Rebecca Green,50,Tertiary,Employed,89489,Middle Class
Michael Rose,42,Tertiary,Self-employed,292836,Above Poverty Line
Sandra Carroll,62,No Education,Self-employed,895111,Above Poverty Line
Mark Pena,83,No Education,Unemployed,15475,Middle Class
Michael Harmon,74,Primary,Self-employed,596344,Above Poverty Line
Nicole Brown,82,Tertiary,Employed,61519,Middle Class
Alexis Patterson,76,Tertiary,Self-employed,314668,Above Poverty Line
Tyler Todd,51,Primary,Unemployed,987,Below Poverty Line
Charles Grant,23,Primary,Unemployed,8957,Below Poverty Line
Jon Nguyen,64,Primary,Unemployed,15634,Middle Class
Jill Fletcher,67,Secondary,Self-employed,149771,Above Poverty Line
Kathryn Jacobs,66,Primary,Employed,748850,Above Poverty Line
Jared Weaver,64,Secondary,Employed,928866,Above Poverty Line
Heather Little,75,Primary,Employed,914499,Above Poverty Line
Nicholas Lee,81,Tertiary,Employed,738747,Above Poverty Line
Michael Flores,35,Secondary,Employed,926667,Above Poverty Line
Joseph Parker,20,Tertiary,Self-employed,225801,Above Poverty Line
Keith Murphy,59,Primary,Unemployed,10046,Middle Class
Tom Fuller,22,Tertiary,Employed,775992,Above Poverty Line
Timothy Schneider,77,No Education,Self-employed,951546,Above Poverty Line
Joanne Williamson,65,Secondary,Employed,368903,Above Poverty Line
Sarah Daniels,20,Primary,Unemployed,12748,Middle Class
Judith Moore,23,Secondary,Employed,526463,Above Poverty Line
Vernon Thompson,75,Secondary,Self-employed,639083,Above Poverty Line
John Martinez,19,No Education,Self-employed,900149,Above Poverty Line
Dalton Kline,35,Tertiary,Unemployed,10255,Middle Class
Felicia Stephens,38,Primary,Employed,675938,Above Poverty Line
Christopher Gonzalez,63,Primary,Self-employed,850851,Above Poverty Line
Paula Copeland PhD,77,No Education,Employed,197271,Above Poverty Line
Joseph Johnson,40,Tertiary,Employed,433567,Above Poverty Line
Megan Bush,86,Tertiary,Self-employed,376128,Above Poverty Line
Alan Peterson,47,Primary,Unemployed,3898,Below Poverty Line
Michelle Garcia,69,Secondary,Self-employed,698728,Above Poverty Line
Laura Scott,22,Primary,Self-employed,542725,Above Poverty Line
Taylor Mitchell,28,No Education,Unemployed,9748,Below Poverty Line
Richard Wells,65,Primary,Employed,302376,Above Poverty Line
Derek Long,53,Primary,Employed,49628,Middle Class
Joseph Singh,36,Tertiary,Self-employed,775727,Above Poverty Line
Tanya Michael,46,Secondary,Self-employed,116634,Above Poverty Line
Tommy Obrien,61,No Education,Employed,593335,Above Poverty Line
Austin Moore,61,Primary,Unemployed,9551,Below Poverty Line
Suzanne Reed MD,64,No Education,Unemployed,17331,Middle Class
Matthew Guerra,37,Primary,Employed,997248,Above Poverty Line
Veronica Carroll,23,Tertiary,Self-employed,77874,Middle Class
Monica Harrison,19,No Education,Unemployed,12971,Middle Class
John Shields,82,Primary,Employed,60207,Middle Class
Linda Medina,60,No Education,Unemployed,13797,Middle Class
Matthew Carter,79,Primary,Unemployed,10309,Middle Class
Darlene White,27,Secondary,Employed,807558,Above Poverty Line
Tonya Smith,54,Secondary,Unemployed,10574,Middle Class
Mackenzie Munoz,36,No Education,Employed,369122,Above Poverty Line
Shannon Lutz,27,Primary,Employed,575208,Above Poverty Line
Charles Washington,69,Tertiary,Self-employed,398427,Above Poverty Line
Timothy Porter,47,Primary,Employed,669959,Above Poverty Line
Amanda Huffman,41,Secondary,Self-employed,346330,Above Poverty Line
Michael Hardy,35,Tertiary,Unemployed,4935,Below Poverty Line
Tina Collins,67,Secondary,Employed,393817,Above Poverty Line
Allen Holmes,40,No Education,Self-employed,780225,Above Poverty Line
Kimberly Castaneda,54,Tertiary,Employed,609174,Above Poverty Line
Michelle Murray,77,Primary,Self-employed,883483,Above Poverty Line
Mark Krueger,54,Secondary,Self-employed,114861,Above Poverty Line
Donna Dunn MD,46,No Education,Self-employed,779815,Above Poverty Line
Tyler Hill,60,Secondary,Self-employed,42596,Middle Class
Valerie Sullivan,30,Primary,Employed,110792,Above Poverty Line
Christopher Tate,56,No Education,Unemployed,5982,Below Poverty Line
Kathleen Mccoy,45,Tertiary,Unemployed,12239,Middle Class
Mark Rodriguez,27,Primary,Employed,237908,Above Poverty Line
Patrick Castillo MD,74,Secondary,Employed,413132,Above Poverty Line
Andrea Ortega,23,Primary,Unemployed,6425,Below Poverty Line
Debra Christian,29,Tertiary,Self-employed,273898,Above Poverty Line
Joseph Mcknight,76,Primary,Self-employed,137827,Above Poverty Line
Regina Ellis,85,Primary,Employed,940107,Above Poverty Line
Lauren Peterson,27,Primary,Employed,207543,Above Poverty Line
Kathleen Frey,36,Secondary,Unemployed,1647,Below Poverty Line
Ashley Salinas DVM,63,Tertiary,Unemployed,10723,Middle Class
Theresa Sheppard,79,Secondary,Employed,20374,Middle Class
Joy Rios,85,No Education,Self-employed,856588,Above Poverty Line
Alan Austin,45,Primary,Self-employed,889124,Above Poverty Line
Deanna Blake,85,Tertiary,Self-employed,992948,Above Poverty Line
Randy Garner,19,Primary,Self-employed,240743,Above Poverty Line
Katie Torres,79,No Education,Employed,264686,Above Poverty Line
Christopher Rose,61,Primary,Unemployed,5610,Below Poverty Line
Sabrina Parker,68,Secondary,Self-employed,874745,Above Poverty Line
Terry Davis,37,Primary,Self-employed,584742,Above Poverty Line
Robert Mullins,18,No Education,Unemployed,16705,Middle Class
Andrea Moore,82,Secondary,Self-employed,28466,Middle Class
Kathryn Meyer,52,Primary,Self-employed,495584,Above Poverty Line
George Spears,30,Secondary,Unemployed,8007,Below Poverty Line
Beth Bowman,31,Tertiary,Unemployed,9946,Below Poverty Line
Karina Cox,37,Tertiary,Self-employed,145727,Above Poverty Line
Seth Conrad,53,Tertiary,Self-employed,944280,Above Poverty Line
Melissa Patterson,24,Tertiary,Employed,132639,Above Poverty Line
Kelli Alexander,84,No Education,Employed,98928,Middle Class
Allison Brown,46,Primary,Self-employed,63261,Middle Class
Mary Smith,25,Primary,Employed,316441,Above Poverty Line
Tracy Alvarez,79,Primary,Unemployed,11784,Middle Class
Michelle Tran,43,Primary,Employed,807824,Above Poverty Line
Sabrina Howard,40,No Education,Employed,501726,Above Poverty Line
Lauren Werner,41,Secondary,Self-employed,651736,Above Poverty Line
Terry Hart,52,Secondary,Employed,54422,Middle Class
Leslie Smith,87,Tertiary,Unemployed,9040,Below Poverty Line
Tina Williams,21,Secondary,Unemployed,14550,Middle Class
Andrew Banks,85,No Education,Self-employed,402103,Above Poverty Line
Dawn Moore,25,Secondary,Unemployed,6714,Below Poverty Line
Christian Duncan,85,Tertiary,Unemployed,9860,Below Poverty Line
Anita Grant,39,Tertiary,Unemployed,12138,Middle Class
Tamara Ware,50,Secondary,Self-employed,466735,Above Poverty Line
Sean Johnson,37,Secondary,Self-employed,998345,Above Poverty Line
Michael Martinez,52,Primary,Employed,64392,Middle Class
Sharon Harris,20,Primary,Self-employed,376074,Above Poverty Line
Paula Hahn,59,Tertiary,Unemployed,12261,Middle Class
Jordan Cox,36,Secondary,Employed,734840,Above Poverty Line
Richard Gardner,42,Primary,Unemployed,11139,Middle Class
Devin Mitchell,73,Tertiary,Employed,931640,Above Poverty Line
Robert Brown,48,No Education,Unemployed,6528,Below Poverty Line
Sharon Castro,42,Tertiary,Self-employed,234197,Above Poverty Line
Peter Heath,57,No Education,Unemployed,8619,Below Poverty Line
Megan Ford,43,Secondary,Unemployed,8164,Below Poverty Line
Audrey Coleman,77,Tertiary,Employed,272316,Above Poverty Line
Amanda Franklin,48,Secondary,Self-employed,448017,Above Poverty Line
Erin Butler,87,No Education,Employed,149147,Above Poverty Line
Theresa Flores,83,Primary,Self-employed,583998,Above Poverty Line
Anthony Clark,35,Secondary,Unemployed,10233,Middle Class
Katie Nielsen,70,Primary,Employed,68161,Middle Class
Marcus Garrett,67,Primary,Self-employed,526576,Above Poverty Line
John Rojas,71,Secondary,Employed,880023,Above Poverty Line
Debra Estrada,72,Tertiary,Unemployed,3489,Below Poverty Line
Melissa Jones,58,Secondary,Employed,762700,Above Poverty Line
Alyssa Hernandez,82,Tertiary,Employed,181592,Above Poverty Line
Michael Palmer,61,Primary,Employed,349887,Above Poverty Line
Kerry Parrish,47,Tertiary,Self-employed,323360,Above Poverty Line
Courtney Cunningham,73,Primary,Unemployed,3826,Below Poverty Line
Robin Hamilton,21,Secondary,Employed,158658,Above Poverty Line
Eric Wilson,58,Tertiary,Self-employed,154919,Above Poverty Line
Jackson Jennings,37,No Education,Self-employed,434224,Above Poverty Line
Nancy Stewart,18,Tertiary,Employed,892874,Above Poverty Line
Amber Owen,46,Primary,Self-employed,159406,Above Poverty Line
Vanessa Peterson,38,Tertiary,Unemployed,2302,Below Poverty Line
Kathleen Berry,67,Secondary,Unemployed,1324,Below Poverty Line
Janet Noble,54,Secondary,Self-employed,559909,Above Poverty Line
Antonio Adams,77,Primary,Unemployed,17320,Middle Class
Brittany Garcia,41,Primary,Unemployed,3299,Below Poverty Line
Amanda Hoffman,24,Tertiary,Employed,435575,Above Poverty Line
James Jones,45,No Education,Self-employed,588361,Above Poverty Line
Bridget Allen,64,No Education,Unemployed,15667,Middle Class
Jennifer Porter,62,No Education,Employed,850644,Above Poverty Line
Gary Glass,69,Tertiary,Employed,501298,Above Poverty Line
Renee Thomas,66,No Education,Self-employed,633861,Above Poverty Line
Mary Munoz,38,No Education,Employed,264388,Above Poverty Line
Alan Day,39,Secondary,Employed,993859,Above Poverty Line
Anthony Taylor,18,Primary,Employed,867204,Above Poverty Line
Dawn Anderson,62,No Education,Unemployed,5789,Below Poverty Line
Jordan Jordan,38,No Education,Self-employed,648909,Above Poverty Line
Nicole Harris,50,Primary,Employed,507761,Above Poverty Line
Hannah Atkinson,48,Primary,Employed,57378,Middle Class
Andrea Todd,26,Primary,Self-employed,247324,Above Poverty Line
Travis Olson,47,Secondary,Employed,295888,Above Poverty Line
Veronica Daugherty,61,Secondary,Unemployed,14014,Middle Class
Anna Miller,27,Primary,Unemployed,13002,Middle Class
Angela Brown,36,Secondary,Unemployed,13044,Middle Class
Connor Gentry,22,Tertiary,Self-employed,159857,Above Poverty Line
Rhonda Alvarado,20,Primary,Employed,190020,Above Poverty Line
Melissa Lee,67,No Education,Unemployed,13560,Middle Class
Nicole Gibson,77,Tertiary,Self-employed,549135,Above Poverty Line
Lisa Scott,72,Secondary,Unemployed,11786,Middle Class
Lance Farley,37,Secondary,Unemployed,15098,Middle Class
